CrashID,IntersectionID,StreetOn,IntersectingStreet,Month,Day,Year
00-012546,Int-15347,7th St S,Marquette Av S,January,14,2000
00-014058,Int-11009,25th St E,Bloomington Av S,January,15,2000
00-026570,Int-16041,5th Av S,Franklin Av E,January,29,2000
00-028624,Int-11599,2nd St S,19th Av S,January,31,2000
00-038600,Int-15904,17th St N,Dunwoody Blvd W,February,10,2000
00-050325,Int-16242,19th St E,Nicollet Av S,February,22,2000
00-051603,Int-10107,12th St N,Linden Av W,February,23,2000
00-051804,Int-14154,50th St W,Chowen Av S,February,23,2000
00-057132,Int-15609,Broadway St NE,Central Av NE,February,28,2000
00-060196,Int-10933,24th St W,Colfax Av S,March,8,2000
00-063777,Int-16476,Hennepin Av S,Lagoon Av W,March,5,2000
00-067919,Int-15141,60th St W,Nicollet Av S,March,8,2000
00-070001,Int-15645,Broadway St NE,University Av NE,March,10,2000
00-086009,Int-11772,31st St E,Minnehaha Av S,March,25,2000
00-088034,Int-14053,4th St SE,11th Av SE,March,27,2000
00-090820,Int-17232,20th Av S,Riverside Av S,March,30,2000
00-090826,Int-17578,5th Av N,Washington Av N,March,30,2000
00-092418,Int-16978,Clifton Place S,Oak Grove St W,March,31,2000
00-092593,Int-11178,26th St E,Portland Av S,March,31,2000
00-097803,Int-13215,42nd St E,Snelling Av S,April,5,2000
00-099772,Int-16559,Cedar Av S,Lake St E,April,7,2000
00-103252,Int-10258,15th St W,Nicollet Av S,April,10,2000
00-105872,Int-11390,28th St E,Oakland Av S,April,13,2000
00-106370,Int-11723,11th Av S,31st St E,April,13,2000
00-112264,Int-11125,11th Av S,26th St E,April,19,2000
00-112533,Int-12296,35th St E,Cedar Av S,April,19,2000
00-115255,Int-16722,Central Av NE,Lowry Av NE,April,22,2000
00-118854,Int-10205,14th St W,Nicollet Av S,April,25,2000
00-120346,Int-12699,38th St E,Portland Av S,April,26,2000
00-121200,Int-16013,15th Av S,Franklin Av E,April,27,2000
00-122028,Int-17578,5th Av N,Washington Av N,April,28,2000
00-122486,Int-16030,27th Av S,Franklin Av E,April,28,2000
00-124950,Int-12355,36th Av N,Fremont Av N,April,30,2000
00-125143,Int-10775,23rd Av N,Penn Av N,April,30,2000
00-125500,Int-15783,Como Av SE,Weeks Av SE,May,1,2000
00-127900,Int-11811,31st St W,Nicollet Av S,May,2,2000
00-127941,Int-15778,19th Av SE,Como Av SE,May,3,2000
00-128395,Int-10908,24th St E,Bloomington Av S,May,3,2000
00-129139,Int-16008,11th Av S,Franklin Av E,May,4,2000
00-129656,Int-17641,University Av SE,Washington Av SE,May,4,2000
00-130853,Int-11392,28th St E,Portland Av S,May,5,2000
00-134650,Int-13762,47th St E,Bloomington Av S,May,8,2000
00-135763,Int-10251,15th St E,Portland Av S,May,9,2000
00-135842,Int-16041,5th Av S,Franklin Av E,May,9,2000
00-137121,Int-10203,14th St W,LaSalle Av S,May,10,2000
00-138049,Int-10967,25th Av N,Fremont Av N,May,11,2000
00-138370,Int-15052,5th St S,Hennepin Av S,May,11,2000
00-139498,Int-12871,3rd St S,Hennepin Av S,May,12,2000
00-140215,Int-10889,1st Av S,24th St E,May,13,2000
00-141548,Int-11177,26th St E,Park Av S,May,14,2000
00-145365,Int-10028,10th St S,Marquette Av S,May,18,2000
00-146258,Int-17339,Lincoln St NE,Saint Anthony Pkwy NE,May,19,2000
00-146633,Int-17335,Columbia Av NE,Saint Anthony Pkwy NE,May,19,2000
00-146681,Int-12603,37th St E,Bloomington Av S,May,19,2000
00-147590,Int-16964,New Brighton Blvd NE,Stinson Blvd NE,May,20,2000
00-148017,Int-11874,5th Av S,32nd St E,May,20,2000
