Crash ID,County,Community,Primary Road,Intersecting Road,Date,Time,Type,Level,Crash Rpt.
00-012546,Hennepin,Minneapolis,7th St S,Marquette Av S,2000/01/14,1000,Bicycle,Possible Injury (C),
00-014058,Hennepin,Minneapolis,25th St E,Bloomington Av S,2000/01/15,2128,Bicycle,Possible Injury (C),
00-026570,Hennepin,Minneapolis,5th Av S,Franklin Av E,2000/01/29,1845,Bicycle,Possible Injury (C),
00-028624,Hennepin,Minneapolis,2nd St S,19th Av S,2000/01/31,1830,Bicycle,Possible Injury (C),
00-038600,Hennepin,Minneapolis,17th St N,Dunwoody Blvd W,2000/02/10,1000,Bicycle,Possible Injury (C),
00-050325,Hennepin,Minneapolis,19th St E,Nicollet Av S,2000/02/22,843,Bicycle,Possible Injury (C),
00-051603,Hennepin,Minneapolis,12th St N,Linden Av W,2000/02/23,1227,Bicycle,Fatalities,
00-051804,Hennepin,Minneapolis,50th St W,Chowen Av S,2000/02/23,1650,Bicycle,Property Damage Only,
00-057132,Hennepin,Minneapolis,Broadway St NE,Central Av NE,2000/02/28,1405,Bicycle,Possible Injury (C),
00-060196,Hennepin,Minneapolis,24th St W,Colfax Av S,2000/03/08,1950,Bicycle,Property Damage Only,
00-063777,Hennepin,Minneapolis,Hennepin Av S,Lagoon Av W,2000/03/05,235,Bicycle,Possible Injury (C),
00-067919,Hennepin,Minneapolis,60th St W,Nicollet Av S,2000/03/08,2000,Bicycle,Possible Injury (C),
00-070001,Hennepin,Minneapolis,Broadway St NE,University Av NE,2000/03/10,2200,Bicycle,Possible Injury (C),
00-086009,Hennepin,Minneapolis,31st St E,Minnehaha Av S,2000/03/25,1620,Bicycle,Possible Injury (C),
00-088034,Hennepin,Minneapolis,4th St SE,11th Av SE,2000/03/27,1641,Bicycle,Possible Injury (C),
00-090820,Hennepin,Minneapolis,20th Av S,Riverside Av S,2000/03/30,620,Bicycle,Possible Injury (C),
00-090826,Hennepin,Minneapolis,5th Av N,Washington Av N,2000/03/30,652,Bicycle,Property Damage Only,
00-092418,Hennepin,Minneapolis,Clifton Place S,Oak Grove St W,2000/03/31,1830,Bicycle,Possible Injury (C),
00-092593,Hennepin,Minneapolis,26th St E,Portland Av S,2000/03/31,2030,Bicycle,Possible Injury (C),
00-097803,Hennepin,Minneapolis,42nd St E,Snelling Av S,2000/04/05,1814,Bicycle,Possible Injury (C),
00-099772,Hennepin,Minneapolis,Cedar Av S,Lake St E,2000/04/07,1430,Bicycle,Possible Injury (C),
00-103252,Hennepin,Minneapolis,15th St W,Nicollet Av S,2000/04/10,2230,Bicycle,Property Damage Only,
00-105872,Hennepin,Minneapolis,28th St E,Oakland Av S,2000/04/13,1300,Bicycle,Possible Injury (C),
00-106370,Hennepin,Minneapolis,11th Av S,31st St E,2000/04/13,2159,Bicycle,Possible Injury (C),
00-112264,Hennepin,Minneapolis,11th Av S,26th St E,2000/04/19,1640,Bicycle,Property Damage Only,
00-112533,Hennepin,Minneapolis,35th St E,Cedar Av S,2000/04/19,2120,Bicycle,Property Damage Only,
00-115255,Hennepin,Minneapolis,Central Av NE,Lowry Av NE,2000/04/22,920,Bicycle,Possible Injury (C),
00-118854,Hennepin,Minneapolis,14th St W,Nicollet Av S,2000/04/25,1455,Bicycle,Possible Injury (C),
00-120346,Hennepin,Minneapolis,38th St E,Portland Av S,2000/04/26,2000,Bicycle,Possible Injury (C),
00-121200,Hennepin,Minneapolis,15th Av S,Franklin Av E,2000/04/27,1450,Bicycle,Possible Injury (C),
00-122028,Hennepin,Minneapolis,5th Av N,Washington Av N,2000/04/28,0,Bicycle,Property Damage Only,
00-122486,Hennepin,Minneapolis,27th Av S,Franklin Av E,2000/04/28,1631,Bicycle,Property Damage Only,
00-124950,Hennepin,Minneapolis,36th Av N,Fremont Av N,2000/04/30,1710,Bicycle,Possible Injury (C),
00-125143,Hennepin,Minneapolis,23rd Av N,Penn Av N,2000/04/30,2230,Bicycle,Possible Injury (C),
00-125500,Hennepin,Minneapolis,Como Av SE,Weeks Av SE,2000/05/01,723,Bicycle,Possible Injury (C),
00-127900,Hennepin,Minneapolis,31st St W,Nicollet Av S,2000/05/02,1420,Bicycle,Possible Injury (C),
00-127941,Hennepin,Minneapolis,19th Av SE,Como Av SE,2000/05/03,1029,Bicycle,Possible Injury (C),
00-128395,Hennepin,Minneapolis,24th St E,Bloomington Av S,2000/05/03,1800,Bicycle,Possible Injury (C),
00-129139,Hennepin,Minneapolis,11th Av S,Franklin Av E,2000/05/04,820,Bicycle,Property Damage Only,
00-129656,Hennepin,Minneapolis,University Av SE,Washington Av SE,2000/05/04,1815,Bicycle,Possible Injury (C),
00-130853,Hennepin,Minneapolis,28th St E,Portland Av S,2000/05/05,1715,Bicycle,Possible Injury (C),
00-134650,Hennepin,Minneapolis,47th St E,Bloomington Av S,2000/05/08,1725,Bicycle,Possible Injury (C),
00-135763,Hennepin,Minneapolis,15th St E,Portland Av S,2000/05/09,1610,Bicycle,Possible Injury (C),
00-135842,Hennepin,Minneapolis,5th Av S,Franklin Av E,2000/05/09,1717,Bicycle,Possible Injury (C),
00-137121,Hennepin,Minneapolis,14th St W,LaSalle Av S,2000/05/10,2008,Bicycle,Possible Injury (C),
00-138049,Hennepin,Minneapolis,25th Av N,Fremont Av N,2000/05/11,1730,Bicycle,Possible Injury (C),
00-138370,Hennepin,Minneapolis,5th St S,Hennepin Av S,2000/05/11,2000,Bicycle,Possible Injury (C),
00-139498,Hennepin,Minneapolis,3rd St S,Hennepin Av S,2000/05/12,2135,Bicycle,Possible Injury (C),
00-140215,Hennepin,Minneapolis,1st Av S,24th St E,2000/05/13,1456,Bicycle,Possible Injury (C),
00-141548,Hennepin,Minneapolis,26th St E,Park Av S,2000/05/14,2035,Bicycle,Possible Injury (C),
00-145365,Hennepin,Minneapolis,10th St S,Marquette Av S,2000/05/18,1415,Bicycle,Possible Injury (C),
00-146258,Hennepin,Minneapolis,Lincoln St NE,Saint Anthony Pkwy NE,2000/05/19,930,Bicycle,Possible Injury (C),
00-146633,Hennepin,Minneapolis,Columbia Av NE,Saint Anthony Pkwy NE,2000/05/19,1625,Bicycle,Possible Injury (C),
00-146681,Hennepin,Minneapolis,37th St E,Bloomington Av S,2000/05/19,1655,Bicycle,Possible Injury (C),
00-147590,Hennepin,Minneapolis,New Brighton Blvd NE,Stinson Blvd NE,2000/05/20,1030,Bicycle,Possible Injury (C),
