Crash ID,County,Community,Primary Road,Intersecting Road,Date,Time,Type,Level,Crash Rpt.,lat,long
12-115593,Hennepin,Minneapolis,10th Av N,5th St N,4/18/12,1347,Bicycle,Possible Injury (C),,44.9878209,-93.2840836
00-343352,Hennepin,Minneapolis,10th Av S,18th St E,11/4/00,1450,Bicycle,Possible Injury (C),,44.9651697,-93.2596873
01-290509,Hennepin,Minneapolis,10th Av S,35th St E,10/4/01,1656,Bicycle,Possible Injury (C),,44.9395614,-93.2600372
01-365730,Hennepin,Minneapolis,10th Av S,24th St E,12/19/01,2210,Bicycle,Possible Injury (C),,44.9591262,-93.2600279
02-125690,Hennepin,Minneapolis,10th Av S,35th St E,5/14/02,1720,Bicycle,Property Damage Only,,44.9395614,-93.2600372
02-223296,Hennepin,Minneapolis,10th Av S,25th St E,8/10/02,1500,Bicycle,Property Damage Only,,44.9573418,-93.2600526
03-147890,Hennepin,Minneapolis,10th Av S,26th St E,6/12/03,1838,Bicycle,Non-Incap. Injury (B),,44.955535,-93.2600689
04-221804,Hennepin,Minneapolis,10th Av S,38th St E,8/26/04,1615,Bicycle,Possible Injury (C),,44.934151,-93.2599746
04-226908,Hennepin,Minneapolis,10th Av S,26th St E,8/31/04,1415,Bicycle,Non-Incap. Injury (B),,44.955535,-93.2600689
05-235341,Hennepin,Minneapolis,10th Av S,Washington Av S,8/23/05,2134,Bicycle,Property Damage Only,,44.9760635,-93.2544526
05-292938,Hennepin,Minneapolis,10th Av S,Lake St E,10/15/05,1500,Bicycle,Non-Incap. Injury (B),,44.9483594,-93.2601442
06-159300,Hennepin,Minneapolis,10th Av S,Franklin Av E,6/14/06,1226,Bicycle,Possible Injury (C),,44.9627141,-93.2596618
07-136225,Hennepin,Minneapolis,10th Av S,25th St E,4/29/07,2023,Bicycle,Non-Incap. Injury (B),,44.9573418,-93.2600526
10-225716,Hennepin,Minneapolis,10th Av S,Lake St E,7/28/10,1600,Bicycle,Possible Injury (C),,44.9483594,-93.2601442
12-170023,Hennepin,Minneapolis,10th Av S,29th St E,6/4/12,1700,Bicycle,Possible Injury (C),,44.9500657,-93.2601031
12-319384,Hennepin,Minneapolis,10th Av S,25th St E,10/10/12,719,Bicycle,Possible Injury (C),,44.9573418,-93.2600526
13-260696,Hennepin,Minneapolis,10th Av S,Franklin Av E,8/10/13,1425,Bicycle,Non-Incap. Injury (B),,44.9627141,-93.2596618
14-184758,Hennepin,Minneapolis,10th Av S,Lake St E,6/2/14,1028,Bicycle,Possible Injury (C),,44.9483594,-93.2601442
01-126524,Hennepin,Minneapolis,10th Av SE,University Av SE,5/14/01,1820,Bicycle,Possible Injury (C),,44.9817174,-93.2421319
01-202950,Hennepin,Minneapolis,10th Av SE,University Av SE,7/19/01,1710,Bicycle,Possible Injury (C),,44.9817174,-93.2421319
06-160360,Hennepin,Minneapolis,10th Av SE,University Av SE,6/15/06,800,Bicycle,Possible Injury (C),,44.9817174,-93.2421319
08-251070,Hennepin,Minneapolis,10th Av SE,4th St SE,8/14/08,1215,Bicycle,Possible Injury (C),,44.982706,-93.2413248
08-278221,Hennepin,Minneapolis,10th Av SE,8th St SE,9/7/08,1534,Bicycle,Possible Injury (C),,44.9871111,-93.2394353
09-132017,Hennepin,Minneapolis,10th Av SE,5th St SE,5/5/09,1523,Bicycle,Non-Incap. Injury (B),,44.9836877,-93.2405526
09-304950,Hennepin,Minneapolis,10th Av SE,University Av SE,9/25/09,1423,Bicycle,Possible Injury (C),,44.9817174,-93.2421319
10-313197,Hennepin,Minneapolis,10th Av SE,University Av SE,10/12/10,1855,Bicycle,Possible Injury (C),,44.9817174,-93.2421319
11-140696,Hennepin,Minneapolis,10th Av SE,4th St SE,5/19/11,2113,Bicycle,Non-Incap. Injury (B),,44.982706,-93.2413248
11-261976,Hennepin,Minneapolis,10th Av SE,4th St SE,8/31/11,1650,Bicycle,Possible Injury (C),,44.982706,-93.2413248
